"scenario","simple_difference","rebar_x1","rebar_y0hat","reloop_rf_po","reloop_rf_v12","reloop_rf_interp","true_tau","mean_DeltaY0","mean_DeltaY0_hat","mean_abs_DeltaX1","mean_abs_DeltaX2","mean_abs_DeltaX3","mean_abs_DeltaY0_hat","cor_DeltaY0hat_DeltaY0","cor_DeltaX1_DeltaY0","cor_DeltaX2_DeltaY0","cor_DeltaX3_DeltaY0","prop_unit1_treated","n_treated_full","n_control_full","treatment_rate_full","n_matched","n_pairs","n_remnant","n_remnant_controls","sim"
"aligned",0.362828910256046,-0.147835342665545,0.141073509265225,0.00957995158470763,0.14528870642569,0.120717322239769,0,0.362828910256046,0.221755400990821,1.22281316449915,1.03981127631892,0.200550603154959,0.625072903640129,0.411346633534837,0.493675344745339,0.0121640252930074,0.0867823075146088,0.464646464646465,198,802,0.198,396,198,604,604,16
"unrelated",0.195747109441774,-0.366258884756916,0.124430117833651,0.14876076033318,0.217209495945219,0.185937289577241,0,0.195747109441774,0.0713169916081235,1.26834315615037,1.08661126790723,0.136534806325939,0.590940937584991,0.328041427234482,-0.0410257836582668,0.449373934580488,0.236179141292108,0.437869822485207,169,831,0.169,338,169,662,662,16
"opposite",-0.457346613211933,-1.07276450075486,-0.163512114691526,-0.219253340443747,-0.0992958204492328,-0.138263298388002,0,-0.457346613211933,-0.293834498520407,1.12994543901583,1.12759022805865,0.0933805522742464,0.560180566196884,0.381777423765555,-0.447329599623597,0.121223869211362,0.191898801265494,0.514619883040936,171,829,0.171,342,171,658,658,16
"aligned",0.413772108893184,-0.119164640131854,0.204408387967197,0.0798787389495312,0.195623421037592,0.166268430860229,0,0.413772108893184,0.209363720925987,1.21469719485406,1.09971945022619,0.0912731881229254,0.523426185306886,0.291992392063664,0.454732052667147,0.024867481379635,0.0337919400174034,0.45,200,800,0.2,400,200,600,600,17
"unrelated",0.251401817569677,-0.242476375429391,0.271045532723325,0.105852945584822,0.20894485804965,0.175124097941743,0,0.251401817569677,-0.0196437151536471,1.17348847859339,1.18362471061461,0.118251388320968,0.643385715823037,0.36778548943093,-0.0153917187414899,0.478280732328663,0.171675716928862,0.507936507936508,189,811,0.189,378,189,622,622,17
"opposite",-0.158598842204742,-0.599272849898704,0.0242310335519799,0.09108228962565,0.04963027445895,0.0542051899211097,0,-0.158598842204742,-0.182829875756722,1.09437895744596,1.08239591554775,0.0977752794330084,0.461392040098888,0.45205046136924,-0.475590124421504,0.0334865247615148,0.0773598677358329,0.502890173410405,173,827,0.173,346,173,654,654,17
"aligned",0.402570432457453,-0.145644069228282,0.200281314377526,0.0297395867078294,0.236872202592615,0.206675048565021,0,0.402570432457453,0.202289118079927,1.13697564018676,1.13518984867489,0.144570318013266,0.569197653202786,0.227046609479166,0.398631005989862,-0.0762838178540312,0.236206018764042,0.450867052023121,173,827,0.173,346,173,654,654,18
"unrelated",0.195616906490363,-0.180663110134243,0.120661975973614,0.145356419612792,0.143918466556845,0.144645849051733,0,0.195616906490363,0.0749549305167484,1.16037261840266,1.02169303685894,0.0859404738316389,0.5381631452959,0.415413966927677,0.0873007908992783,0.477300654713227,-0.0205310632499553,0.527272727272727,165,835,0.165,330,165,670,670,18
"opposite",-0.302120357606919,-0.926477722111209,-0.113068678375155,-0.0992329727683618,-0.0754077340503948,-0.0786045016397349,0,-0.302120357606919,-0.189051679231764,1.17867416931044,1.22553340587247,0.15154260830968,0.58844191363204,0.321210721961943,-0.430573443716054,0.0322379768180956,0.0650267142198034,0.533333333333333,180,820,0.18,360,180,640,640,18
"aligned",0.291789364647564,-0.280323858325442,0.0973455313482555,-0.0707052950934889,0.116542474116752,0.0335093113801781,0,0.291789364647564,0.194443833299308,1.17473807728855,1.14386791680207,0.0855096128711164,0.502844740526533,0.325243855891127,0.364202338161458,0.0213757208149871,0.166928985429301,0.538888888888889,180,820,0.18,360,180,640,640,19
"unrelated",0.281054558696735,-0.263442933639337,0.161230982518819,0.105563376695132,0.219249736401766,0.158610002940843,0,0.281054558696735,0.119823576177916,1.09429808276073,1.18642911557431,0.0811718382887898,0.513007167245272,0.413895387528558,-0.0650638254731211,0.501970067322265,0.0448787529003066,0.450292397660819,171,829,0.171,342,171,658,658,19
"opposite",-0.192334984726254,-0.748973847862587,0.0675778354263961,0.0635778436218586,0.0971138554336538,0.0862583284149304,0,-0.192334984726254,-0.25991282015265,1.24144647173821,1.09738151882221,0.0551227340997616,0.578302884674212,0.436660684820428,-0.531187362695605,0.0337376367608802,0.0990846123343824,0.476683937823834,193,807,0.193,386,193,614,614,19
